;BB;voc_nb_all;cond;age;zf0_Original;M_minus_NM;Type_protophone;zf0_Original_inv;difference_inv;f0m_NM;is_margbabbling
49;18;43.0;m100;7.166666666666667;-0.2047983899073776;-32.772589702483;R;-0.2047983899073776;-32.772589702483;417.2115181627447;0
50;18;44.0;m100;7.166666666666667;-1.4911366702225628;-25.863450692904223;pB;-1.4911366702225628;-25.863450692904223;295.91857467809615;1
51;18;45.0;m100;7.166666666666667;-1.369047870218355;-25.88681169997966;V;-1.369047870218355;-25.88681169997966;307.4307174368349;1
52;18;46.0;m100;7.166666666666667;-1.3583376677522112;-25.443844404265576;V;-1.3583376677522112;-25.443844404265576;308.4406166230092;1
53;18;47.0;m100;7.166666666666667;-0.9922288489483236;-26.863268575255404;V;-0.9922288489483236;-26.863268575255404;342.96218606392694;1
54;18;48.0;m100;7.166666666666667;-0.3779579166753512;-31.90469150388367;V;-0.3779579166753512;-31.90469150388367;400.88375351832315;1
55;18;49.0;m100;7.166666666666667;-1.2927078439705866;-14.900182121818432;pB;-1.2927078439705866;-14.900182121818432;314.6290622509365;1
56;18;50.0;m100;7.166666666666667;0.1369671070504292;-35.49939167906035;L;0.1369671070504292;-35.49939167906035;449.43767806319397;0
57;18;51.0;m100;7.166666666666667;-0.6203942441013162;-30.704999916205793;V;-0.6203942441013162;-30.704999916205793;378.0236581521974;1
58;18;52.0;m100;7.166666666666667;0.00650079989595652;-33.66026868704512;R;0.00650079989595652;-33.66026868704512;437.1355934074681;0
59;18;53.0;m100;7.166666666666667;-0.15468758434880348;-31.362506164669526;L;-0.15468758434880348;-31.362506164669526;421.93662601314395;0
60;18;54.0;m100;7.166666666666667;0.12154431228773681;-32.05095295449536;L;0.12154431228773681;-32.05095295449536;447.9834135029663;0
61;18;55.0;m100;7.166666666666667;1.4132610880993983;-43.37124350994793;L;1.4132610880993983;-43.37124350994793;569.7835125004918;0
62;18;56.0;m100;7.166666666666667;2.512036477171715;-34.17660151576865;L;2.512036477171715;-34.17660151576865;673.3905521171748;0
63;18;57.0;m100;7.166666666666667;2.3883060596168435;-40.97603892865902;L;2.3883060596168435;-40.97603892865902;661.723615998211;0
64;18;58.0;m100;7.166666666666667;;;L;;;;0
65;18;59.0;m100;7.166666666666667;0.8011645607141211;-37.14246233090921;S;0.8011645607141211;-37.14246233090921;512.0669766254181;0
66;18;60.0;m100;7.166666666666667;-1.3125237475813747;-26.170144054976333;pB;-1.3125237475813747;-26.170144054976333;312.76055743106;1
67;18;61.0;m100;7.166666666666667;-1.6946955125497316;-24.281785679507664;Gr;-1.6946955125497316;-24.281785679507664;276.72436151035924;0
68;18;62.0;m100;7.166666666666667;0.5681828112825923;-36.51229786507167;S;0.5681828112825923;-36.51229786507167;490.0983836050589;0
69;18;63.0;m100;7.166666666666667;-1.078556391064029;-29.881865434800773;L;-1.078556391064029;-29.881865434800773;334.822086490397;0
70;18;64.0;m100;7.166666666666667;1.403227411896753;-41.57689282838976;S;1.403227411896753;-41.57689282838976;568.8374051357226;0
71;18;65.0;m100;7.166666666666667;1.3692760225575542;-39.63878623167602;S;1.3692760225575542;-39.63878623167602;565.6360202345941;0
72;18;66.0;m100;7.166666666666667;-1.0619835229192203;-28.234929297810368;Gr;-1.0619835229192203;-28.234929297810368;336.3847951417902;0
73;21;10.0;m100;6.466666666666667;-0.48459672444205226;-20.629465662529753;pB;-0.48459672444205226;-20.629465662529753;276.03089452695355;1
74;21;11.0;m100;6.466666666666667;-0.5120105527782445;-24.87049282754319;V;-0.5120105527782445;-24.87049282754319;273.1360734982482;1
75;21;12.0;m100;6.466666666666667;-0.21551319182914747;-25.96528693589289;Gr;-0.21551319182914747;-25.96528693589289;304.44533774639154;0
76;21;13.0;m100;6.466666666666667;-0.5812981115644986;24.875112622098015;V;-0.5812981115644986;24.875112622098015;265.8195075760307;1
77;21;14.0;m100;6.466666666666667;-0.1868044805015269;-25.92444340221681;V;-0.1868044805015269;-25.92444340221681;307.476894675947;1
78;21;15.0;m100;6.466666666666667;-0.5320345647089925;-24.71884769584028;V;-0.5320345647089925;-24.71884769584028;271.0215957206352;1
79;21;16.0;m100;6.466666666666667;-0.4906411585290851;-25.003817387119994;V;-0.4906411585290851;-25.003817387119994;275.3926197596652;1
80;21;17.0;m100;6.466666666666667;-0.5025160443032491;-25.04386238234821;V;-0.5025160443032491;-25.04386238234821;274.1386661479713;1
81;21;18.0;m100;6.466666666666667;-0.3726053952247241;-24.230538952384904;Gr;-0.3726053952247241;-24.230538952384904;287.85685516532874;0
82;21;19.0;m100;6.466666666666667;-0.49062651854193795;-24.55703799933761;V;-0.49062651854193795;-24.55703799933761;275.39416569998895;1
83;21;20.0;m100;6.466666666666667;-0.5461671431793254;-23.77849733446223;V;-0.5461671431793254;-23.77849733446223;269.52923628640997;1
84;21;21.0;m100;6.466666666666667;-0.6459652823038977;-22.097772603902598;V;-0.6459652823038977;-22.097772603902598;258.9908412756677;1
85;21;22.0;m100;6.466666666666667;-0.6084080902188668;-22.442363186056383;V;-0.6084080902188668;-22.442363186056383;262.95677219540494;1
86;21;23.0;m100;6.466666666666667;-0.5270809060307103;-23.77716967966208;V;-0.5270809060307103;-23.77716967966208;271.544687757802;1
87;21;24.0;m100;6.466666666666667;-0.6317289009286575;-22.93781535320204;pB;-0.6317289009286575;-22.93781535320204;260.494161996594;1
88;21;25.0;m100;6.466666666666667;1.706566899604078;-38.06524565053758;Gr;1.706566899604078;-38.06524565053758;507.4114393539871;0
89;21;26.0;m100;6.466666666666667;-0.3261879345666506;-26.70683086859833;Gr;-0.3261879345666506;-26.70683086859833;292.7584048345041;0
