;BB;voc_nb_all;cond;age;zf0_Original;M_minus_NM;Type_protophone;zf0_Original_inv;p_margbabbling;difference_inv
0;1;15.0;p100;6.1;-0.34091750964407364;15.6935013720514;S;0.34091750964407364;0.7333333333333333;-15.6935013720514
1;1;16.0;p100;6.1;0.10740536214876532;16.86431062420354;S;-0.10740536214876532;0.7333333333333333;-16.86431062420354
2;1;17.0;p100;6.1;-0.9004111797802979;14.138535753870087;pB;0.9004111797802979;0.7333333333333333;-14.138535753870087
3;1;18.0;p100;6.1;0.16197139105204256;17.25094793181671;S;-0.16197139105204256;0.7333333333333333;-17.25094793181671
4;1;19.0;p100;6.1;0.2771066132734208;16.245597435480818;pB;-0.2771066132734208;0.7333333333333333;-16.245597435480818
5;1;20.0;p100;6.1;1.5137589774765141;20.278398099210335;pB;-1.5137589774765141;0.7333333333333333;-20.278398099210335
6;1;21.0;p100;6.1;-1.6020798068158453;10.499233062555277;V;1.6020798068158453;0.7333333333333333;-10.499233062555277
7;1;22.0;p100;6.1;1.9621308927229206;21.481123311204215;S;-1.9621308927229206;0.7333333333333333;-21.481123311204215
8;1;23.0;p100;6.1;0.2400777262972904;16.921003577856595;V;-0.2400777262972904;0.7333333333333333;-16.921003577856595
9;1;24.0;p100;6.1;-0.4189295862052219;15.912457640690775;S;0.4189295862052219;0.7333333333333333;-15.912457640690775
10;1;25.0;p100;6.1;0.745022454768083;18.573223957974108;pB;-0.745022454768083;0.7333333333333333;-18.573223957974108
11;1;26.0;p100;6.1;-0.34258105230440433;16.19714958481211;V;0.34258105230440433;0.7333333333333333;-16.19714958481211
12;1;27.0;p100;6.1;0.3158171111791519;14.816125473167176;pB;-0.3158171111791519;0.7333333333333333;-14.816125473167176
13;1;28.0;p100;6.1;1.0665623036567142;19.974735211223447;pB;-1.0665623036567142;0.7333333333333333;-19.974735211223447
14;1;29.0;p100;6.1;-0.42932883487765094;14.264518615086615;Cr;0.42932883487765094;0.7333333333333333;-14.264518615086615
15;1;30.0;p100;6.1;-0.4921920495632269;14.981900856012032;V;0.4921920495632269;0.7333333333333333;-14.981900856012032
16;12;9.0;m100;6.3;-1.499579584341137;-21.23138661715771;V;-1.499579584341137;0.7619047619047619;-21.23138661715771
17;12;10.0;m100;6.3;11.771459990494979;-35.078551088138454;S;11.771459990494979;0.7619047619047619;-35.078551088138454
18;12;11.0;m100;6.3;0.9641859099734551;-25.666523769863034;V;0.9641859099734551;0.7619047619047619;-25.666523769863034
19;12;12.0;m100;6.3;1.8171390682177726;-21.134541772188186;B;1.8171390682177726;0.7619047619047619;-21.134541772188186
20;12;13.0;m100;6.3;0.04120551053921452;-23.56813171405119;V;0.04120551053921452;0.7619047619047619;-23.56813171405119
21;12;14.0;m100;6.3;4.364594029091535;-18.954365744296297;V;4.364594029091535;0.7619047619047619;-18.954365744296297
22;12;15.0;m100;6.3;2.5017343675033974;-26.067623650036808;Cr;2.5017343675033974;0.7619047619047619;-26.067623650036808
23;12;16.0;m100;6.3;1.7436829305422195;-25.816144243554277;Cr;1.7436829305422195;0.7619047619047619;-25.816144243554277
24;12;17.0;m100;6.3;12.329211743086187;-35.642516085851355;Cr;12.329211743086187;0.7619047619047619;-35.642516085851355
25;12;18.0;m100;6.3;1.2846842022866587;-22.42692968850872;V;1.2846842022866587;0.7619047619047619;-22.42692968850872
26;12;19.0;m100;6.3;-0.028187603854070393;-23.338542451245644;V;-0.028187603854070393;0.7619047619047619;-23.338542451245644
27;12;20.0;m100;6.3;3.432573806852004;-20.427715783863277;Gr;3.432573806852004;0.7619047619047619;-20.427715783863277
28;12;21.0;m100;6.3;2.0970548725788145;-25.70176278182197;pB;2.0970548725788145;0.7619047619047619;-25.70176278182197
29;15;10.0;p100;6.466666666666667;-0.23542017714122854;-0.32421987061434265;Gr;0.23542017714122854;0.5833333333333334;0.32421987061434265
30;15;11.0;p100;6.466666666666667;-0.7411926036957197;25.951721023137907;pB;0.7411926036957197;0.5833333333333334;-25.951721023137907
31;15;12.0;p100;6.466666666666667;-0.9021360025507781;25.11105292326937;pB;0.9021360025507781;0.5833333333333334;-25.11105292326937
32;18;23.0;m100;7.166666666666667;1.686621975895539;-41.1966999137469;S;1.686621975895539;0.2222222222222222;-41.1966999137469
33;18;24.0;m100;7.166666666666667;0.7126981002305491;-35.15477594920111;L;0.7126981002305491;0.2222222222222222;-35.15477594920111
34;18;25.0;m100;7.166666666666667;0.5547056889220292;-36.53928249826225;L;0.5547056889220292;0.2222222222222222;-36.53928249826225
35;18;26.0;m100;7.166666666666667;0.24713704989344104;-35.38696205071324;S;0.24713704989344104;0.2222222222222222;-35.38696205071324
36;18;27.0;m100;7.166666666666667;1.312215420940875;-38.04700503468678;L;1.312215420940875;0.2222222222222222;-38.04700503468678
37;18;28.0;m100;7.166666666666667;0.33972509908786247;-30.59297092390375;L;0.33972509908786247;0.2222222222222222;-30.59297092390375
38;18;29.0;m100;7.166666666666667;0.443947306936192;-35.566645701736206;V;0.443947306936192;0.2222222222222222;-35.566645701736206
39;18;30.0;m100;7.166666666666667;-2.210807647704495;-22.42948173622858;L;-2.210807647704495;0.2222222222222222;-22.42948173622858
40;18;31.0;m100;7.166666666666667;0.7790326250050703;-38.486513074191464;L;0.7790326250050703;0.2222222222222222;-38.486513074191464
41;18;32.0;m100;7.166666666666667;2.4408222449608483;-43.392605269707246;S;2.4408222449608483;0.2222222222222222;-43.392605269707246
42;18;33.0;m100;7.166666666666667;1.8370488364229394;-41.53639891655246;S;1.8370488364229394;0.2222222222222222;-41.53639891655246
43;18;34.0;m100;7.166666666666667;1.1348030628473653;-37.15271410113138;L;1.1348030628473653;0.2222222222222222;-37.15271410113138
44;18;35.0;m100;7.166666666666667;1.306694347610452;-37.09835680716276;L;1.306694347610452;0.2222222222222222;-37.09835680716276
45;18;36.0;m100;7.166666666666667;2.0525426373294695;-41.69468955353955;S;2.0525426373294695;0.2222222222222222;-41.69468955353955
46;18;37.0;m100;7.166666666666667;1.507493981120211;-40.60085573373078;S;1.507493981120211;0.2222222222222222;-40.60085573373078
47;18;38.0;m100;7.166666666666667;1.7772688634004215;-42.49673774729149;S;1.7772688634004215;0.2222222222222222;-42.49673774729149
48;18;39.0;m100;7.166666666666667;2.423834695929775;-46.56992738692804;L;2.423834695929775;0.2222222222222222;-46.56992738692804
