;BB;cond;age;zf0_Original;zf0_Original_mum;M_minus_NM;M_minus_NM_mum
107;18;m100;7.166666666666667;0.7126981002305491;-0.24958759571955705;-35.15477594920111;-29.648679952733062
108;18;m100;7.166666666666667;0.7126981002305491;0.2049277405257317;-35.15477594920111;-29.626533712951527
109;18;m100;7.166666666666667;0.7126981002305491;1.9163166513818304;-35.15477594920111;-37.920550804720506
110;18;m100;7.166666666666667;0.7126981002305491;2.270852348092836;-35.15477594920111;-43.77831364015958
112;18;m100;7.166666666666667;0.7126981002305491;1.4605798177551943;-35.15477594920111;-37.28523250858757
113;18;m100;7.166666666666667;0.5547056889220292;2.289931297050388;-36.53928249826225;-27.430984453390124
114;18;m100;7.166666666666667;0.5547056889220292;2.025227591055243;-36.53928249826225;-43.39040893644267
115;18;m100;7.166666666666667;0.5547056889220292;1.058360136420454;-36.53928249826225;-28.722859575132986
116;18;m100;7.166666666666667;0.5547056889220292;1.8696613736655203;-36.53928249826225;-28.56925052994029
117;18;m100;7.166666666666667;0.5547056889220292;-0.24958759571955705;-36.53928249826225;-29.648679952733062
118;18;m100;7.166666666666667;0.5547056889220292;0.2049277405257317;-36.53928249826225;-29.626533712951527
119;18;m100;7.166666666666667;0.5547056889220292;1.9163166513818304;-36.53928249826225;-37.920550804720506
120;18;m100;7.166666666666667;0.5547056889220292;2.270852348092836;-36.53928249826225;-43.77831364015958
122;18;m100;7.166666666666667;0.5547056889220292;1.4605798177551943;-36.53928249826225;-37.28523250858757
123;18;m100;7.166666666666667;0.24713704989344104;2.289931297050388;-35.38696205071324;-27.430984453390124
124;18;m100;7.166666666666667;0.24713704989344104;2.025227591055243;-35.38696205071324;-43.39040893644267
125;18;m100;7.166666666666667;0.24713704989344104;1.058360136420454;-35.38696205071324;-28.722859575132986
126;18;m100;7.166666666666667;0.24713704989344104;1.8696613736655203;-35.38696205071324;-28.56925052994029
127;18;m100;7.166666666666667;0.24713704989344104;-0.24958759571955705;-35.38696205071324;-29.648679952733062
