index;file;start_times;stop_times;check_timings;duration;phase;who;voc_type;category1_M;category2_M;category1_F;category2_F;agr_cat1;agr_cat2;"Garde (0;1)";"Langue entendue (F;Autre)";"Langue parlée (1;2)";"bababa (0;1;2)";"bodaga (0;1;2)";"imitation (0;1;2)";"pointer doigt (0;1)";pretend play score (x/7);social gesture score (x/7);words understood (x/139);words spoken (x/139);word spoken all;"combiner mots 0;1;2";sentiments (x/4);expressions (x/5);"Reco miroir (0;1;2)";"attire attention soi (0;1;2)";"aime/aime pas (0;1;2)";"reco photo (0;1;2)";"attire attention actions (0;1;2)";Unnamed: 34;coded;audio_order;BB;delete_group;merge_group;cond;BBvoc_NM;BBvoc_M;othersound_NM;othersound_M;f0m_NM;f0sd_NM;f0pNa_NM;f0c_NM;f0m_M;f0sd_M;f0pNa_M;f0c_M;f0cSD_NM;f0cSD_M;HNR_M;HNR_NM;RMSm_NM;RMSsd_NM;RMSm_M;RMSsd_M
10.0;BB1_6M_1403_p100_NM;64.32;66.38;0.6000000000000085;2.0600000000000023;BL;B;pB;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/BL/BB1_6M_1403_p100_NM_64.32_to_66.38;/BB/BL/BB1_6M_1403_p100_64.32_to_66.38_BL;/other/BL/BB1_6M_1403_p100_NM_62.66_to_64.32;/other/BL/BB1_6M_1403_p100_62.66_to_64.32_BL;696.4327514990007;399.2500911551864;0.2713592233009709;523.2376205651158;695.856109260493;397.72213742551327;0.2713592233009709;523.2083131506267;328.124361353531;328.0288305269207;15.420965994879943;16.889628972097405;545.6803105711484;;407.2854604583901;
11.0;BB1_6M_1403_p100_NM;66.98;67.62;3.4299999999999926;0.6400000000000006;BL;B;pB;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/BL/BB1_6M_1403_p100_NM_66.98_to_67.62;/BB/BL/BB1_6M_1403_p100_66.98_to_67.62_BL;/other/BL/BB1_6M_1403_p100_NM_66.38_to_66.98;/other/BL/BB1_6M_1403_p100_66.38_to_66.98_BL;448.9746619217082;127.89127541996754;0.5609375;523.2376205651158;448.0909252669039;126.48155009384101;0.5609375;523.2083131506267;328.124361353531;328.0288305269207;9.891524829144657;10.94769915355968;295.44827239455657;;235.40211171084457;
13.0;BB1_6M_1403_p100_NM;71.05;76.17;0.8199999999999932;2.1099999999999994;BL;B;pB;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;1.0;p100;/BB/BL/BB1_6M_1403_p100_NM_71.05_to_76.17;/BB/BL/BB1_6M_1403_p100_71.05_to_76.17_BL;/other/BL/BB1_6M_1403_p100_NM_67.62_to_71.05;/other/BL/BB1_6M_1403_p100_67.62_to_71.05_BL;295.5860921895006;59.27176404152274;0.2373046875;523.2376205651158;295.56415364916774;58.31668229345829;0.2373046875;523.2083131506267;328.124361353531;328.0288305269207;16.800449644371547;16.15063959025182;129.85729862078523;;111.37703050491008;
14.0;BB1_6M_1403_p100_NM;76.99;78.2;1.3100000000000025;1.210000000000008;BL;B;pB;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/BL/BB1_6M_1403_p100_NM_76.99_to_78.2;/BB/BL/BB1_6M_1403_p100_76.99_to_78.2_BL;/other/BL/BB1_6M_1403_p100_NM_76.17_to_76.99;/other/BL/BB1_6M_1403_p100_76.17_to_76.99_BL;489.21237354085605;162.7183304874303;0.5752066115702479;523.2376205651158;489.14538910505837;161.99952853378915;0.5752066115702479;523.2083131506267;328.124361353531;328.0288305269207;17.67745740901295;15.948527017424821;47.17643049210641;;48.25987869750486;
15.0;BB1_6M_1403_p100_NM;79.51;80.48;0.9500000000000028;0.9699999999999988;EXP;B;S;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/EXP/BB1_6M_1403_p100_NM_79.51_to_80.48;/BB/EXP/BB1_6M_1403_p100_79.51_to_80.48_EXP;/other/EXP/BB1_6M_1403_p100_NM_78.2_to_79.51;/other/EXP/BB1_6M_1403_p100_78.2_to_79.51_EXP;516.5488836104513;98.82374157553843;0.565979381443299;551.1535390906436;547.4197387173397;102.9568567118248;0.565979381443299;582.9917086943823;285.0828056084377;302.23003254186136;10.66520928334306;10.659340643189129;197.1762648666054;;177.6044484576514;
16.0;BB1_6M_1403_p100_NM;81.43;82.96000000000001;16.560000000000002;1.5300000000000011;EXP;B;S;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/EXP/BB1_6M_1403_p100_NM_81.43_to_82.96;/BB/EXP/BB1_6M_1403_p100_81.43_to_82.96_EXP;/other/EXP/BB1_6M_1403_p100_NM_80.48_to_81.43;/other/EXP/BB1_6M_1403_p100_80.48_to_81.43_EXP;622.1956355932203;226.93003720812484;0.6915032679738562;551.1535390906436;658.6946610169491;240.6931540141287;0.6915032679738562;582.9917086943823;285.0828056084377;302.23003254186136;10.870943941739007;11.142566945337382;146.69621407036144;;133.94959060774536;
17.0;BB1_6M_1403_p100_NM;99.52;100.31;2.3499999999999943;0.789999999999992;EXP;B;pB;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/EXP/BB1_6M_1403_p100_NM_99.52_to_100.31;/BB/EXP/BB1_6M_1403_p100_99.52_to_100.31_EXP;/other/EXP/BB1_6M_1403_p100_NM_82.96_to_99.52;/other/EXP/BB1_6M_1403_p100_82.96_to_99.52_EXP;397.95964656964657;137.42674430734527;0.3911392405063291;551.1535390906436;422.64422037422037;146.86928988994364;0.3911392405063291;582.9917086943823;285.0828056084377;302.23003254186136;8.036550456665205;7.893829240419855;81.97944616317352;;67.52083530664234;
18.0;BB1_6M_1403_p100_NM;102.66;108.4;1.289999999999992;5.740000000000009;EXP;B;S;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/EXP/BB1_6M_1403_p100_NM_102.66_to_108.4;/BB/EXP/BB1_6M_1403_p100_102.66_to_108.4_EXP;/other/EXP/BB1_6M_1403_p100_NM_100.31_to_102.66;/other/EXP/BB1_6M_1403_p100_100.31_to_102.66_EXP;635.7486064924782;218.8244510937289;0.7799651567944251;551.1535390906436;673.5294457640538;232.8909851977537;0.7799651567944251;582.9917086943823;285.0828056084377;302.23003254186136;11.843463225437144;12.58564428188384;222.61625173643418;;177.45864749343255;
19.0;BB1_6M_1403_p100_NM;109.69;113.05;0.769999999999996;3.3599999999999994;EXP;B;pB;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/EXP/BB1_6M_1403_p100_NM_109.69_to_113.05;/BB/EXP/BB1_6M_1403_p100_109.69_to_113.05_EXP;/other/EXP/BB1_6M_1403_p100_NM_108.4_to_109.69;/other/EXP/BB1_6M_1403_p100_108.4_to_109.69_EXP;664.8619463548831;335.7851907606997;0.5672619047619047;551.1535390906436;701.2810866574965;358.2191205385282;0.5672619047619047;582.9917086943823;285.0828056084377;302.23003254186136;12.991584686585375;13.107277308126996;157.59406303789947;;137.77177095176808;
20.0;BB1_6M_1403_p100_NM;113.82;115.511;9.729;1.691;EXP;B;pB;;;;;1.0;1.0;1.0;F;1.0;2.0;2.0;2.0;1.0;4.0;5.0;86.0;10.0;10.0;0.0;4.0;0.0;;;;;;;;;1;;;p100;/BB/EXP/BB1_6M_1403_p100_NM_113.82_to_115.51;/BB/EXP/BB1_6M_1403_p100_113.82_to_115.51_EXP;/other/EXP/BB1_6M_1403_p100_NM_113.05_to_113.82;/other/EXP/BB1_6M_1403_p100_113.05_to_113.82_EXP;1026.429411764706;99.01173688083068;0.8591715976331361;551.1535390906436;1085.636848739496;104.54124081815706;0.8591715976331361;582.9917086943823;285.0828056084377;302.23003254186136;12.389666827225806;11.101661386893614;143.48804626646125;;130.75205337831704;
